System,Dataset,Repeat,LR_MAPE,DL_MAPE,LR_MAE,DL_MAE,LR_RMSE,DL_RMSE,LR_R2,DL_R2
batlik,flame.csv,4,0.032753110831662866,0.021625599272601752,0.058716063808510306,0.03792825090388458,0.07747593126919862,0.048994638512588146,0.9561197152242895,0.9824517851712887
batlik,flame.csv,5,0.032777235607149145,0.028139469477378345,0.05829447897785198,0.04727655762599575,0.07585982010106461,0.058276023912909945,0.9588796256750396,0.9757331576791798
batlik,flame.csv,6,0.030289630294691783,0.025390652042656926,0.054310818176406844,0.04216576765808796,0.07310327989840061,0.05538818656705031,0.9588527472160385,0.9763788296328756
batlik,flame.csv,7,0.03218524618476256,0.02307042452058531,0.05773286928333299,0.040378765041629475,0.07724518227826273,0.05181237214356569,0.9580557939128702,0.9811289473512218
batlik,flame.csv,8,0.03125220625959076,0.02686238273458664,0.05659236481896151,0.0462455358190669,0.0757496797143925,0.05708779183685254,0.9588717332264713,0.9766404057127581
batlik,flame.csv,9,0.032352175564891485,0.025174893574217108,0.05785118268455394,0.043515116829011186,0.07748370563792861,0.054280165360541255,0.953709826600562,0.977283031984441
batlik,flame.csv,10,0.031648836235219774,0.025534790948731,0.05618127739568614,0.04278438518444697,0.07339633354983957,0.05391798050979648,0.959901264189862,0.9783604022117435
batlik,france.csv,1,0.038570747328551765,0.02612151251884678,0.14451663700064835,0.08989879177676308,0.18958221004934625,0.11503964556964409,0.9681201924215875,0.9882614190848976
batlik,france.csv,2,0.041091193127125246,0.028133616239064543,0.15022921284982335,0.10056594949629574,0.1981294711249692,0.13324736624047695,0.9634988421659266,0.9834908107020299
batlik,france.csv,3,0.04118074408667167,0.02428119080981514,0.15113090585754155,0.08629623649848833,0.19681393958005655,0.11318753469182781,0.9627548320901574,0.9876815680460955
batlik,france.csv,4,0.04032115681659614,0.025269790013167148,0.14634516083322244,0.09108156917823684,0.1887936116088118,0.12031198021839375,0.9662507582696891,0.9862941119442541
batlik,france.csv,5,0.0388608560471911,0.02894533955656929,0.1426906422220419,0.10118475268284481,0.190345767508986,0.12985090874746158,0.9656211563212918,0.9840009276193863
batlik,france.csv,6,0.03805994043509827,0.023473790970201858,0.13862045209865015,0.08168304392033153,0.18576663891252332,0.10755833416887375,0.9655370487445424,0.9884467238626831
batlik,france.csv,7,0.038589837183532115,0.022854299799424722,0.14102055493338503,0.08047664955258368,0.18620665727206023,0.10475689612277354,0.9663523323189561,0.9893504856628296
batlik,france.csv,8,0.038587011369626376,0.02701035195478902,0.1422293114861747,0.09452861906753646,0.1899158339492811,0.12250858768306584,0.9661806704299319,0.9859273557003428
batlik,france.csv,9,0.03867038774561989,0.023513056125263096,0.14332759850322288,0.08331663949622048,0.19267366899865,0.10872123174409215,0.9634343559850227,0.9883572058264923
batlik,france.csv,10,0.039096709096053735,0.024445729190860372,0.14243967751523426,0.08503564592864779,0.18849653108478923,0.11098414949974626,0.9660828534236715,0.9882419717230754
batlik,frisco.csv,1,0.04977003106423758,0.04132229935243785,0.2433259184989083,0.19372916657063696,0.3260547802989019,0.24657868331282357,0.87174282875522,0.9266480654898527
batlik,frisco.csv,2,0.05078659928222673,0.03660300531690838,0.24701564818488228,0.17306220998366673,0.3392808936837328,0.22400759712397045,0.866399968421278,0.941761088544306
batlik,frisco.csv,3,0.052314361759095616,0.0345617057859609,0.25275214414550884,0.1613810016380416,0.33492908214533496,0.21080487506426215,0.8590646110175696,0.9441689699830135
batlik,frisco.csv,4,0.05238449804945717,0.035175268167525565,0.25327086533971627,0.1620129274162981,0.34286625024155204,0.20536568481615622,0.8546563789009598,0.9478562506060975
